Περιφέρεια,Region,Population_2011,20/04/2020,21/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020
Ανατολική Μακεδονία και Θράκη,East Macedonia and Thrace,606170.0,72,72,73,76,76,76,82,82,83
Κεντρική Μακεδονία,Central Macedonia,1874590.0,172,173,176,176,176,176,181,181,181
Ήπειρος,Epirus,336650.0,14,14,14,14,14,14,14,14,14
Θεσσαλία,Thessaly,730730.0,61,61,64,69,69,69,70,70,76
Ιόνιοι Νήσοι,Ionian Islands,206470.0,13,13,14,14,14,14,14,14,14
Δυτική Ελλάδα,West Greece,680190.0,83,83,84,84,84,84,84,84,83
Στερεά Ελλάδα,Central Greece,546870.0,67,67,68,70,70,70,73,73,73
Αττική,Attica,3812330.0,1334,1343,1362,1401,1401,1401,1437,1437,1465
Πελοπόννησος,Peloponnese,581980.0,24,25,176,176,176,176,180,180,180
Βόρειο Αιγαίο,North Aegean,197810.0,8,8,8,8,8,8,8,8,8
Νότιο Αιγαίο,South Aegean,308610.0,10,10,10,10,10,10,10,10,10
Κρήτη,Crete,621340.0,18,18,18,18,18,18,18,18,18
Δυτική Μακεδονία,West Macedonia,282120.0,155,155,155,156,156,156,156,156,160
Χωρίς μόνιμη διαμονή στην Ελλάδα,Without permanent residency in Greece,,156,157,158,159,159,159,162,162,174
Άγιο Όρος,Mount Athos,2416.0,4,4,4,4,4,4,4,4,4
Υπό διερεύνηση,Under Investigation,,44,41,21,26,26,26,24,24,23
