,Country,Population,Density,GDP
0,Afghanistan,31057,18,700.0
1,Albania,3582,48,4500.0
2,Algeria,32931,5,6000.0
3,American Samoa,58,112,8000.0
4,Andorra,72,58,19000.0
5,Angola,12128,3,1900.0
6,Anguilla,14,51,8600.0
7,Antigua & Barbuda,70,60,11000.0
8,Argentina,39922,5,11200.0
9,Armenia,2977,38,3500.0
10,Aruba,72,143,28000.0
11,Australia,20265,1,29000.0
12,Austria,8193,37,30000.0
13,Azerbaijan,7962,35,3400.0
14,"Bahamas, The",304,8,16700.0
15,Bahrain,699,405,16900.0
16,Bangladesh,147366,395,1900.0
17,Barbados,280,250,15700.0
18,Belarus,10294,19,6100.0
19,Belgium,10380,131,29100.0
20,Belize,288,4,4900.0
21,Benin,7863,26,1100.0
22,Bermuda,66,479,36000.0
23,Bhutan,2280,18,1300.0
24,Bolivia,8990,3,2400.0
25,Bosnia & Herzegovina,4499,33,6100.0
26,Botswana,1640,1,9000.0
27,Brazil,188079,8,7600.0
28,British Virgin Is.,24,58,16000.0
29,Brunei,380,25,18600.0
30,Bulgaria,7386,25,7600.0
31,Burkina Faso,13903,19,1100.0
32,Burma,47383,26,1800.0
33,Burundi,8091,112,600.0
34,Cambodia,13882,29,1900.0
35,Cameroon,17341,14,1800.0
36,Canada,33099,1,29800.0
37,Cape Verde,421,40,1400.0
38,Cayman Islands,46,66,35000.0
39,Central African Rep.,4304,2,1100.0
40,Chad,9945,2,1200.0
41,Chile,16135,8,9900.0
42,China,1313974,52,5000.0
43,Colombia,43594,14,6300.0
44,Comoros,691,122,700.0
45,"Congo, Dem. Rep.",62661,10,700.0
46,"Congo, Repub. of the",3703,4,700.0
47,Cook Islands,22,34,5000.0
48,Costa Rica,4076,30,9100.0
49,Cote d'Ivoire,17655,21,1400.0
50,Croatia,4495,30,10600.0
51,Cuba,11383,39,2900.0
52,Cyprus,785,32,19200.0
53,Czech Republic,10236,50,15700.0
54,Denmark,5451,48,31100.0
55,Djibouti,487,8,1300.0
56,Dominica,69,35,5400.0
57,Dominican Republic,9184,72,6000.0
58,East Timor,1063,27,500.0
59,Ecuador,13548,18,3300.0
60,Egypt,78888,30,4000.0
61,El Salvador,6823,125,4800.0
62,Equatorial Guinea,541,7,2700.0
63,Eritrea,4787,15,700.0
64,Estonia,1325,11,12300.0
65,Ethiopia,74778,25,700.0
66,Faroe Islands,48,13,22000.0
67,Fiji,906,19,5800.0
68,Finland,5232,5,27400.0
69,France,60877,42,27600.0
70,French Guiana,200,0,8300.0
71,French Polynesia,275,25,17500.0
72,Gabon,1425,2,5500.0
73,"Gambia, The",1642,56,1700.0
74,Gaza Strip,1429,1532,600.0
75,Georgia,4662,25,2500.0
76,Germany,82423,89,27600.0
77,Ghana,22410,36,2200.0
78,Gibraltar,28,1540,17500.0
79,Greece,10689,31,20000.0
80,Greenland,57,0,20000.0
81,Grenada,90,100,5000.0
